module,file,instantiated_in,inst_in_top_design,current_connection,recommendation,patch_files
rplu_exp,hardware/common/rtl/gpu/rplu_exp.v,"hardware/common/rtl/gpu/davis_to_rplu.v (u_rplu); hardware/common/tests/rplu_exp_tb.v","No (wrapper + tests only)",not connected to top-level rplu_cfg,"If runtime integration is required: instantiate davis_to_rplu (or rplu_exp) under spu13_core near davis_gate_dsp and forward dec_fast_cfg_* (piranha->fast CDC outputs). Otherwise keep as test wrapper.",hardware/common/rtl/gpu/davis_to_rplu.v; hardware/common/rtl/core/spu13_core.v; hardware/common/rtl/top/spu_system.v
rplu_skel,hardware/common/rtl/gpu/rplu_skel.v,"hardware/common/tests/rplu_tb.v","No (tests only)",local ROMs only,"Expose per-SPU-4 fast-domain ext_rplu_cfg_* ports on spu4_top and route to rplu_skel for local table updates (low-cost).",hardware/spu4/rtl/spu4_top.v; hardware/common/rtl/gpu/rplu_skel.v
pade_eval_4_4,hardware/common/rtl/gpu/pade_eval_4_4.v,"instantiated in rplu_exp","No (internal to rplu_exp)",cfg writes handled by rplu_exp,"No top-level wiring needed; rplu_exp already exposes cfg ports which will receive writes if its parent (e.g., davis_to_rplu) is wired.",hardware/common/rtl/gpu/rplu_exp.v
davis_to_rplu,hardware/common/rtl/gpu/davis_to_rplu.v,"hardware/common/tests/davis_to_rplu_tb.v","No (test wrapper)",wrapper expects rplu_cfg inputs but not wired into runtime flow,"To integrate RPLU into runtime, instantiate davis_to_rplu inside spu13_core (near davis_gate_dsp) and wire dec_fast_cfg_* into it; if integration not desired, keep as test-only.",hardware/common/rtl/gpu/davis_to_rplu.v; hardware/common/rtl/core/spu13_core.v
spu13_core,hardware/common/rtl/core/spu13_core.v,"instantiated as u_cortex in spu_system","Yes (now accepts dec_fast_cfg inputs)","dec_fast_cfg_* inputs added and wired from top-level; propagate internally as needed","hardware/common/rtl/core/spu13_core.v; hardware/common/rtl/top/spu_system.v"
spu_system,hardware/common/rtl/top/spu_system.v,"top-level system","Yes (defines dec_fast_cfg_* via CDC)",dec_fast_cfg_* wires exist but are not forwarded to u_cortex (spu13_core),"Wire dec_fast_cfg_* into the u_cortex instantiation; choose explicit per-instance targeting (recommended) or support broadcast writes. Ensure CDC semantics remain: piranha->fast CDC already present (dec_fast_cfg_*).",hardware/common/rtl/top/spu_system.v
spu4_top,hardware/spu4/rtl/spu4_top.v,"instantiated as u_sentinel in spu_system generate loop","Yes (4x sentinels instantiated)",not connected for RPLU writes,"Add optional ext_rplu_cfg_* input ports to spu4_top and connect them from spu_system (either broadcast or per-instance). Inside spu4_top, route to local rplu_skel or other lightweight consumer.",hardware/spu4/rtl/spu4_top.v; hardware/common/rtl/top/spu_system.v
spu_tensegrity_balancer,hardware/common/rtl/core/spu_tensegrity_balancer.v,"instantiated in hardware/common/rtl/bio/spu_fluid_solver.v (u_balancer)","Yes (now accepts cfg ports)","Per-lane thresholds implemented: sel==3'd0 updates threshold_reg[cfg_addr[2:0]] from cfg_data[15:0]. Wired via spu_fluid_solver and spu_core to accept dec_fast_cfg_*.",hardware/common/rtl/core/spu_tensegrity_balancer.v; hardware/common/rtl/bio/spu_fluid_solver.v; hardware/common/rtl/core/spu_core.v
spu_fluid_solver,hardware/common/rtl/bio/spu_fluid_solver.v,"instantiated in hardware/common/rtl/core/spu_core.v (u_solver)","Yes (now forwards cfg)","Exposes cfg inputs and forwards to u_balancer. Per-lane threshold mapping: sel==3'd0, addr[2:0] selects lane. spu_core updated to accept dec_fast_cfg_* and route into u_solver.",hardware/common/rtl/bio/spu_fluid_solver.v; hardware/common/rtl/core/spu_core.v; hardware/common/rtl/top/spu_system.v
notes,,,"","Merge policy: ext_piranha_cfg (external fast→piranha) currently takes priority over decoder writes in spu_system. Keep merge policy; for fast-domain consumer wiring use dec_fast_cfg_* (piranha->fast CDC outputs). For bulk uploads, prefer FIFO+ACK rather than toggle CDC.",
